text,labels
"இது எப்படி தெரியுமா இருக்கு, 90's kids   நாங்கலாம் எங்க காலத்துல னு  2K kids ட சொல்லுர மாதிரி இருக்கு",1
தெலுங்கு கொல்ட்டி சமுத்திர கன்னி உன் நாயக்க சாதி வெறிய ஒழி.,1
அவனுங்களுக்கு எதிராக ஒன்று சேர இதுவே நல்ல நேரம்,1
teaser எப்ப பாக்கனுமமேன்டு சொல்லட்டுமா தல funs என்ன பயம் தளபதிய நாங்க பாக்க முதலே நீங்க பாக்கிறிங்க அந்த பயம் இருக்கனும்டா,1
"இவளே ஒரு உச்சநீதிமன்ற திருட்டு குற்றவாளி இவிங்களுக்கு ஒரு படமா ,தமிழினத்துக்கு அம்மா வேலுநாச்சியார் படத்தை எடுங்கடா பின்பு இவருக்கு எந்த அளவு மரியாதைனு பார்ப்போம்",1
500 கோடிகுடுத்தா எவன் டயரையும் நக்க ரெடி,1
என்ன டா நீங்க பக பக பக பக னு சங்கு வேற ஊதிக்கிறீங்க🤣🤣🤣symbolic ah சொல்றீங்களோ🤔🤔🤔🤔🤔‍‍‍‍,1
சீமானை மனதில் வைத்து படம் எடுத்திருப்பார்களோ? சும்மா கேட்டு வைப்போம்...,1
மொக்க டா சாமி....இவான் எப்ப டா செத்து ஒழிவான் கருமம் இதல்லாம் பாச வேண்டியதா இருக்கு,1
Dislike பண்ணது எல்லாம் அண்ணன் குஜினிகாந்தோட குஞ்சுகள் தான்..,1
கமெண்ட் மயிர மட்டும் நல்லா ரோஷப் புண்டையா போடுங்க டா! ஆனா ஓட்டு அவனுங்க கூட்டணிக்கு போடுங்க.,1
மண்ணும் பெண்ணும் இரண்டும் முக்கியம் மேல கை வச்சா வெட்டுவேன் தரமான சம்பவம் செய்ய வ௫கிறாள் திரெளபதி,1
"இதுல ஜாதியே mention பன்னல அதுக்குள்ள குருமா குரூப்க்கு கோவம் வருது , எவ்ளோ தான் நீங்க முன்னேறினாலும் உங்க புத்தி மட்டும் மாறாது டா, chai!!!!",1
என்ன மயிரு ட்ரைலெர்ட்டா இது ஒன்னும் புரியல 🤦‍,1
நீ என்ன பெரிய வசூல் மன்னனா தெரியல்ல அப்படித்தான் பேசிக்கிறானுங்க..... :D,1
படம் ரிலீஸ் தேதியை  கொஞ்சம் சீக்கிரமா வச்சிருந்தா நல்லா இருக்கும். எல்லா ஜாதிக்காரரும் இந்த படத்தை பாக்கணும்ன்னு இருக்காங்க  except அந்த குஞ்சித் & குருமா பாய்ஸ் தவற.  சூட்டோட சூடா படத்தை ரிலீஸ் பண்ணிட்டா நல்லாயிருக்கும்.,1
தோழரே ஆகஸ்ட் மாதம் இந்தப் படத்தை வெளியிட்டார் என்ன ஒரு பிரயோஜனம் அதுவே இந்த எலக்சனுக்கு புள்ள வெளியிட்டார் உங்களால ஒரு 80 ஆயிரம் பேராவது திருந்துவாங்க பணம் மட்டும் சம்பாதிக்க போதாது நான் சொல்வது புரியுதுங்களா,1
Trailer செம ஆனா Bgm கேட்டவுடனே ராஜா அவர்களின் பேட்டி '96 படத்தை குறித்து பேசியது எனக்கு ஏன் இப்ப ஞாபகத்துக்கு வரனும்..,1
"மோகன் ஜி... செருப்பை எங்க வைக்கணும், சீப்பை எங்க வைக்கணும்னு நம்மளுக்கு சொல்லிகுடுத்து வளர்த்திட்டாங்க..! ரெண்டுக்கும் வித்தியாசம் தெரியாத நாய்க குறைக்குது.. 🤣🤣🤣",1
ஆனா இந்த வசன நடை செத்துப்போச்சு. நாங்கள் யதார்தமாக வட்டார மொழி பேசும் படங்களை பார்க்க ஆரம்பித்து விட்டோம் mr mani. இவ்வளவு கோடி கொட்டி படம் பண்றீங்க. ஒரு வசன கர்த்தாவ வச்சுக்க கூடாதா. Shankar ஐ பாத்தாவது திருந்த வேண்டாமா?,1
1996 அரசியல்  திமுக  புதிதாக உருவான தமிழ் மாநில காங்கிரஸ் கட்சிக்கு ரஜினி தேவைப்பட்டார்  ஜெயலலிதா ஆட்சியினை அப்புறப்படுத்த எதிர்கட்சிகளுக்கு ரஜினி தேவைப்பட்டார்  ரஜினி பெயரை சொல்லி வாக்கு கேட்டு வென்றனர்🤘  கோமாளி பட இயக்குனருக்கு வரலாறு தெரியுமா,1
"மாவீரன் காடுவெட்டியார் ஆசியோடு திரௌபதி மிரட்டுவாள்…!!!   இந்த திரைபடம் மூலமா எந்த பிரச்சனை வந்தாலும், அதை உடன் இருந்து, எதிர்கொள்ள தயார்…!!! இவன்- மாவீரன் காடுவெட்டியார் வளர்ப்பு",1
திருமாவளவன் உனக்கு தரமான செருப்பு அடி இருக்கு டா,1
"அய்யா சத்திரிய குஞ்சுகலா உங்ககிட்ட  உள்ள சொத்தே,ஒரு மட்ட கம்பு,கொத்தனார் கரண்டி,இதை நாங்க வேற அபகரிக்க போரமா...    காமெடி பன்னாதிங்கடா",1
இதுல எல்லாமே இருக்கு ஆனா மணிரத்னம்தான் இல்ல.,1
நான்கூட தமிழ் நாட்டுல ஜாதி வேறுபாடுலாம் பெருசா ஒன்னும் இல்லனு தப்பா நெனசிட்டென். ஆனால் இங்க ஒவ்வொருத்தனும் போடுற கமெண்ட்லாம் பாக்கும்போது ஊர்ல உள்ள மொத்த சாதி வெறி புடிச்ச நாய்களும் இங்கதான் இருக்குனு புரியுது.,1
எந்த ட்ரைலர் சிறந்தது  பிசாசு விருப்பம்  சைக்கோ பதிவிடுங்கள்,1
"திண்டிவனத்துல காலேஜ் படிக்குற  தலித் பொண்ண நாடக காதல் பண்ணி அந்த பொண்ண நிர்வாணமா  வீடியோ எடுத்து மிரட்டி அவங்க குடும்பத்தையே தூக்குல தொங்க வச்ச நாடக காதல் கும்பல்  வன்னியர் சமுதாயத்தை சேர்ந்தவன், அவன் நண்பர்களும் இதற்கு உடந்தை குறிப்பு அந்த நாய்ங்களும் வன்னியர் சமூகம் தான் ... வீர நாடக காதல் குரூப்  வன்னிய ஜாதி நாய்ங்க ஒரு உதாரணம்......",1
"அறிவு கெட்ட நாயே ஜெயலலிதா ஒரு இரும்பு பெண்மணியட இறந்தவரை இப்படி கேலியாக படம் போடுவதை விட, உன்,தங்கை, உன் மனைவி,அல்லது, உன் அம்மா  இவர்கள் யாரேனும் ஒருவரது  மார்பிங் போட்டோவை போட்டால் நல்லா இருக்குமா?  யோசித்துப் பாரட. சொரி நாயே,",1
எத்தனையோ part 2 படம் பார்த்துட்டேன் எல்லாம் பிளாப் இதுவும் அப்படி ஆகாம இருந்தா செரி,1
ரஜினியை வெச்சு செஞ்சிட்டாங்க செம சூப்பர் வாழ்த்துக்கள்,1
பெண்ணை அடிமையாக்க நினைக்கும் இந்த படம் தோல்விதான் அடையும்,1
மாவீரன் காடுவெட்டியாரின் வரிகள்  இடம்பெற்றுள்ளது மண் பொண்ணு மேல கைய வெச்சா வெட்டுவோம்,1
அடப்பாவிங்களா இந்த  ட்ரைலெர்யுமா டா dislike பண்ணுவீங்க...,1
இன்னும் எவனும் இந்தே படத்தே ஆதிக்கே சாதி படம்னு சொல்லாம இருக்கான் எவனது சொல்லட்டும் ஒக்களே ஒலிகளே செருப்ப கழட்டி அடிக்கணும்,1
"தலித்துக்கள் மீது எவ்வளவு பொறாமை, கோபம்,வன்மம் சாதி வெறி எல்லாம் கொஞ்சம் கூட குறையலனு கீழ உள்ள கமெண்ட்ஸ் படிக்கும்போது தெரியுது.",1
அவ்வளவு அதப்பு இருந்தா?????? சாதி பெயரை சொல்லி கிடைக்கும் எந்த சலுகையும் வேண்டாம்னு சொல்லுங்கடா பாப்போம்!!,1
"மனிதர் அனைவரும் சமம். ஆனாலும், இந்த ச௧்௧ிலையர்௧ள் சாதி மத பேதம் இன்றி ௮னைத்து சமூக பெண்களையும் ௧ாம வலை விரித்து ௧ர்ப்பமா௧்கி நடுத்தெருவில் விட்டு விடுகிறார்கள். நாடார், வன்னியர் சமூகத்தினர் மட்டுமே ௧டைசி வரை  போராடுகிறார்கள். மற்றவர்கள் தங்களுக்கு உள்ளேயே புழுங்கிக் கொண்டு இருக்கிறார்கள்.",1
மத்தவங்களை troll பண்ணாம படம் நடிடா  தேவ்டியா ரவி,1
கொரியன் படம் பாருங்க இதை விட சிறப்பாக இருக்கும் I saw the devil,1
Al Vijay in சரியான பழி வாங்கல்,1
காதல் என்ற பெயரில் களவாணித்தனம் செய்யும் கயவர்களுக்கும் அதை புரட்சி என்று சொல்லி திரியும் பூச்சாண்டிகளுக்கும் இந்த படம் ஒரு சவுக்கு அடி...,1
"More than 3M Views.. சும்மா இருந்த சங்கை ஊதி கெடுத்துட்டானுங்க கருப்பு சட்டையும், நீல சட்டையும்.  மிரட்டல் தொடரும்.... # திரௌபதி..",1
நீங்க சொன்னமாதிரி  படத்துக்கு வருவோம் சீன  மத்தள தியேட்டர கிழிச்சிடுவோம்,1
லவ் பண்ண மட்டும் போதாது மேட்டரை முடிச்சுட்டு சொன்ன அது சமூகம்  பொண்ணு மேல கை வைச்ச வெட்டுவோம் சொன்ன சாதி சாதி வேண்டாம் ஆன தாழ்த்தப்பட்டோர்  சலுகை வேணும்ல,1
"டேய் கிலட்டு தேவிடியா அஜித் பசங்களா, நீங்க என்ன டா சொல்றது,   எங்க தளபதியோட நண்பன் சூர்யா'வோட சிங்கம் 3 வெற்றி பெற வாழ்த்துகிறோம்டா !!",1
இப்புடி படிச்ச பசங்க எல்லாம் வேனா_னு ஓடி ஓடி தான்யா நாடே நாசமா போயிருச்சு.......,1
டைலாக் அனைத்தும் வேற லெவல்...\r \r BGM செம...\r \r நாடக காதல் செய்யும் நாய்களுக்கு சரியான செருப்படி...,1
ஒத்த டிரைலர் மொத்த கூட்டத்தையும் ஒன்னு சேத்துடுச்சி... நல்ல காதல கொண்டாடுற மாதிரி நாடக காதலையும் தோலுரிச்சி காட்டனும்ல.  மலையமான் உடையார் சார்பாக படம் வெற்றிபெற வாழ்த்துகள்...,1
உனக்கு வந்தா இரத்தம் எங்களுக்கு தக்காளி சட்னியா...... இது ஆரம்பம் தான். வெற்றி பயனம் தொடரட்டும்........,1
"எவன்லாம் காதல உணர்வு பூர்வமா பாக்காம,  அவனோட  உணர்ச்சி மற்றும் காமத்தை தீர்த்து கொள்ள காதல் பண்ணானோ அவனுக்கு அடிக்கின்ற சம்பட்டி அடி திரௌபதி.  கட்டப்பஞ்சாயத்து பண்ணி பணம் சம்பாரித்தவன் எவனோ  அவனுக்கும் தெரியும்  இது  உண்மை  கதை தான் என்று நடுநிலை நக்கிகள் திரௌபதியை சாதி  படம் என்று முத்திரை குத்தவேண்டாம்,  அப்படி சாதிய வட்டத்திற்குள் அடைத்தாலும் பரவாயில்லை திரௌபதி அணைத்து சமூக பெண்களையும் காப்பாள்.  #திரௌபதி",1
தமிழ்நாட்டை விட்டு திமுக போன்ற தீய சக்தியை விரட்டிநாலெ அவனுவ அடங்கிருவானுங்க,1
Lowest investment then biggest  Money earning offer  Any one intrested msg me on whatsapp 7448660012 மிக குறைந்த முதலிடு  மிக அதிகமான வருமாணம் விருப்பம் உள்ளவர்கள்  தொடர்பு கொள்ள வேண்டிய Whatsapp எண்: 7448660012 நிங்கள் தரும் பணத்திற்கு Na Guarenty,1
வேசி மகன் தேபை திருமாவளவன் திரைமரைஉக்கு பின்னால்  சொல்லும்போது உங்கலுக்கு இனிக்கிரது. அதனை ஒருவன் வெளியில் சொன்னால் வளக்குதா...,1
அந்த அம்மா மட்டும் உயிரோடு இருந்த இந்த டீசரை போட்டவர்களை   டவுசரை   கலட்டி இருப்பங்கா,1
"அடங்கமறு என்பதின் அர்த்தம் என்ன? படிக்காதது உன் குற்றம் என்றால்,  அந்த படிப்பை தடுத்தவர்களைப் பற்றிய குற்றத்தை வெளிப்படையாக ஏன் பேசுவதில்லை?  பெண்ணையும், மண்ணையும் ஒரே தட்டில் வைத்து பேசுவது குற்றமான செயல் இல்லையா?",1
என்னப்பா மூன்று நாளா 7 M பார்வையாளர்களிலே முக்குது சூர்யா படம் ஒரே நாளில் மகேஷ்பாபு படம் 9.3 M பார்வையாளர்களை கடந்து நம்பர் 1 இடத்தில் இருக்கு யூடியூப் சேனலில் ஐயோ பாவம்,1
எவன் எப்படி வேண்டுமானாலும் கதறட்டும் ..  நாம திரெளபதி யாக மிரட்டுவோம்,1
கடைசி பஞ்ச் எனக்கு ஒரு நிமிஷம் தலையே சுத்துடுச்சு..,1
தன் உழைப்பை மட்டுமே நம்பி உச்சம் தொட்டவர் எங்கள் தலைவர். யாரையும் பின்தள்ளி முன்னேற வில்லை. அவருக்கான இடம் அந்த இறைவனும் மக்களும் கொடுத்தது. குப்பை மேடுகளுக்கு கோபுரத்தின் உயரம் பிடிபடுவதில்லை.,1
ஏல ரன்ஜித் நாய இனி நி படம் எடுல பாப்போம்,1
0:40 நீங்க சீண்டி இருக்கிறது அமைதியா படுதிட்டு இருக்கிறா புலிய; பாயறதுக்கு ரொம்ப நேரம் ஆகாது #NTK,1
செல்வராகவனுக்கு வயசும் இல்ல....அறிவும் இல்ல....  Because இந்த படத்த நாம இப்ப பார்த்தால் புரியுரது கஷ்டம்... 10 வருஷம் கழித்து பார்த்தால் புரியும்...  (எ.கா) ஆயிரத்தில் ஒருவன்  வேறலெவல் இயக்குநர்...,1
2020 ஆரம்பமே பற புண்டைங்ஙளுங்கு ஆப்பு வைக்குறோம்.... இனி தான்டா வன்னியர்களோட வேட்டை ஆரம்பம்... எங்க பொண்ணுங்கள கல்யாணம் பன்னி சோறு திங்குறது எங்களோட எச்சைய() திங்குறதுக்கு சமம்... மாவீரன் தம்பி டா....,1
தமிழ்ராக்கர்ஸ் தாண்டி மாப்ள....மயிரு மாறி இருக்கு ட்ரைலர்...,1
"நான் வன்னியனுமில்லை, தேவருமில்லை,, ஆனால் இந்த நாடகக்காதலுக்கு முழுவதும் முற்றுப்புள்ளி வைக்க விரும்பும் சராசரியானவன்.. திராவிட பாஷையில் சொல்ல வேண்டுமெனில் பாப்பான்...  ஆனால் தற்போது உள்ள காலகட்டத்தில் இந்த நாடக காதலுக்காக கொடி பிடிக்கும் அத்தனை நாதேரிங்களுக்கும் இத்திரைப்படம் ஒரு சவுக்கடி மட்டுமல்ல, தரமாண செருப்படி.. இத்திரைப்படத்தை தைரியமாக எடுத்துள்ள இயக்குநருக்கு  வாழ்த்துக்கள்",1
எந்த நிறம் இருந்தாலும் அவை யாவும் ஒரே தரம் அன்றோ  இயக்குனர்  G.MOHAN அவர்களே நவீன நாடக காதலை சாதிய வெச்சு தான் சொல்லணும்னு இல்லையே... நீ காதலையும் கொச்ச படுத்தர சாதியையும் கோச்ச படுத்துர...நானும் பாண்டிய குழத்தவனே...ஆனால் நீதியை சாதியனு பாத்தா நீதி தாண்டா...உன் மொழியே உன் அடையாளம் உன் சாதியல்ல...  தமிழ் வாழ்க,1
திருமாவளவன் திருமுருகன் காந்தி வேல்முருகன் சீமான் திமுக காங்கிரஸ் திராவிட இந்த தேசா துரோகி  சாதி சந்டைகள் மோதா விட்டு வேடிக்கை பார்பவர்கள் ஒழித்தல்   போதும் அந்நிய நாட்டு கை கூலிகள்,1
மிஷ்கின் மற்றும் இளையராஜா வுக்காக இந்த படத்தை கண்டிப்பா நான் பார்ப்பேன் னு சொல்றவங்க யாருன்னா இருக்கீங்களா ?,1
இது அனைத்து ஜாதிக்கும் தான் .. பறையர் கூட சக்கிலியர் ஜாதியை கேவலமாக தான் நினைக்கின்றனர் .,1
ஒரே ஒரு ஜாதி தவிர மற்ற எல்லா ஜாதியும் ..இந்த படத்துக்கு சப்போர்ட் பண்ணுது நா...அப்போ அவ்வளவு ஜாதி மக்களின் வயித்து எரிச்சலை ஒரு ஜாதி வாங்கி இருக்குனு அர்த்தம்,1
"டேய் கோமாளிகளா,  ரஜினி 1996ல்  அரசியலுக்கு வரேன்னு  சொல்லல,  2016 லையும்  அரசியலுக்கு வரேன்னு  சொல்லல. ரஜினி அரசியலுக்கு வரேன்னு  சொன்னது 2017  டிசம்பர் 31ல்.  இதுக்கு முன்னாடி ரஜினி எப்பவும் நான் அரசியலுக்கு வரேன்னு  சொன்னது கிடையாதுடா கோமாளிகளா.",1
"ஏன்டா சோட்டா பீம் பசங்களா? அடுத்த சாதி பொண்ணுங்களையே காதலிக்கிறீங்களே, உங்க வீட்டு பொண்ணுங்கள என்ன பண்றதா உத்தேசம்???",1
"இதே டீஸர விஜய் அண்ணா மட்டும் பன்னிருக்கனும், அவ்ளவு தான்,   பைரவா டீஸர் ஸ்டைலா வந்த கடுப்புல இங்க வந்து விக்கு பைரவா'னு கதரிட்டு கிடக்கானோ பொட்ட கிலட்டு தேவிடியா அஜித் பேன்ஸ் !!!",1
"தமிழ் குடிகளுக்குள் பகையை வன்மத்தை வளர்க்கும் படம் , அதே திருமா - ராமதாஸ் நாடகக்காதல் கதை , இது உருபடறதுக்கான வழியாக தெரியவில்லை , தமிழர்களை மீண்டும் மீண்டும் சாதியாக பிளக்கவைக்கும் படம் , தமிழர்கள் சக மனிதர்கள் மீது சாதிய வன்மம் வளர்க்கும் இதுபோன்ற படத்தை ஆதரிக்காமல் கடந்து செல்ல வேண்டும் !",1
ஹீரோ 10 பொண்ணுங்கள Love பண்ணி 100 பேரை அடிச்சு நம்மளை மண்டை காய வைக்கிற Movie இது இல்லை ....இது உண்மையாகவே நகைச்சுவையான சூப்பரான சூப்பரான சூப்பரான படம் ....எல்லாரும் பார்க்கணும்,1
எல்லா டப்பிங் படங்களுக்கும் ஹீரோவுக்கு ஒரே நபர் தான்  டப்பிங் பேசுவார் போல ஆட்களை மாற்றிவித்தியாசமாக பண்ணலாம்,1
"Sec 1:22 ல தலை இருக்கா இல்ல வெறும் முண்டம் குளிக்குதா....?  But, மிரட்டல் trailer.....",1
என்னடா பண்ணி வச்சு இருக்கீங்க.... ஒரு side மட்டும் பெருசா இருக்கு,1
திருட்டு பசங்களுக்கு சரியான செருப்படி இந்த திரௌபதி.  இனிமேல் வருடத்திற்கு ஒரு செருப்படி உண்டு...,1
"அட்ட கத்தி,  காலா,  கபாலி வரும் போது  ஒருத்தனும் இல்ல ! இப்போ  இந்த  படத்துக்கு குருமா குஞ்சுகள்  social மீடியா லா ஒரே கதறலா இருக்கு?   டேய்  அடங்க மறு ! அடி வாங்கு குரூப்ஸ் !   பேயாம படம் பாத்தோமா போனோமா னு இருக்கனும் !   இயக்குனர் அண்ணனுக்கு வாழ்த்துக்கள் !",1
படத்தை கட்சிகாரங்க கிட்ட காட்டிட்டு படத்தை ரிலிஸ் பன்னுங்க,1
ட்ரைலர்ல ஒன்னும் புரியல  தம்பி. But படத்துல எங்க தலய பத்தி கிண்டல் செஞ்ச மாதிரி ஏதாச்சும்  இருந்தா அப்புறம் இருக்கு தம்பி உங்களுக்கு பெரிய கச்சேரி.,1
"10 (average) பொண்ணுங்க வீட்டுக்கு நாக்கை தொங்க போட்டுட்டு இவனுக போறது, அவளுகளும் சீரி சிங்காரிச்சிட்டு 10 ஆம்பளைங்க முன்னாடி போய் போஸ் தரது. இவனுக எவ்வளவு வரதட்சணை தருவனு கேட்கறது அவளுக எவ்வளவு சொத்து வச்சிருக்கான்/சம்பாதிக்கறதுனு கேட்கறது. கல்யாணம் ஆனா பிடிக்கலைனாலும் இவளுக அவனோட படுக்கிறது, அவனுக வெளியில் affair வச்சிட்டு இவளுகளுக்கு வாழக்கை முழுக்க சாப்பாடு போடுறது.   இப்படி  arranged கல்யாணம் செஞ்ச , காதல் கல்யாணம் செஞ்சிட்டு உயிரை கையில் பிடிச்சிட்டு ஊரை விட்டு ஓடி போறவங்களை பார்த்து நாடக காதல், பணத்தாசை பிடிச்சவங்கனு சொல்லுதுங்க. எல்லாம் நேரம்.",1
"ஆக மொத்தம் , விவசாயிங்க கண்ணிர், இளைஞர்கள் வேலைவாய்ப்பு, விலைவாசி உயர்வு, நாட்டின் முன்னேற்றம் பற்றி எந்த நாயிம் படம் எடுக்காது.  போங்கடா நீங்களும் உங்க ஜாதி புண்** யும்.",1
"எவண்டா அது,  படத்தை ரீமேக் பண்ணது",1
"Beethoven's fur elise,,  உங்களுக்கு புடிக்கும்னு தெரியும்,, அதுக்காக அப்டியே சுடலாமா மிஷ்கின் sir?",1
அடங்க மறுத்தா அறுத்து போட்றுவோம்.    டெடிகேட் டு பா ரஞ்சித் மற்றும் திருமா...,1
"never ever give up ,அபூர்வ சகோதரர்கள் டப் பன்னி மெர்சல்னு வைச்சவனுக கதருவானுக",1
"Director தா லூசு பயனு பாத்தா... Hero வும் கோமாளி பயனா இருக்கான்....  96 ல இருந்து தலைவர் மூலமா தமிழ்நாட்டுக்கு நிறையா அரசியல் நிகழ்வு நடந்துருக்கு,நடத்திருக்காரு....ஆனா வெளிப்படையா அரசியலுக்கு வரல...  2017 டிசம்பர்31 லதா  அதிகாரபூர்வமா அறிவிச்சார்...  ஆனா ஒன்னு  #கர்மா is a Boomerang",1
உங்கள பார்த்தா சிரிப்பு போலிஸ் மாதி இருக்கு,1
பொள்ளாச்சி சம்பவத்துல இந்த பொங்கலெல்லாம் காணுமே?? ஆண்ட பெரும பேசுறவனுங்க கைவச்ச பொங்கதோ உங்க அருவா?,1
இங்க வீரம் பேசிட்டு திமுக கூட்டனிக்கு ஓட்டு போடுங்க . அந்த செல்வாக்கில் சுடலை சரக்கு மிடுக்கு கும்பளை  mp ஆக்கி டெல்லி வரை வளர்த்து விடுவார்கள் .  நாடக காதலை வளர்ப்பது திராவிட கும்பல் தான் . அவர்களுக்கு குடுக்கும் அதரவு மறைமுகமாக  நாடக காதலுக்கு அதரவு ..  அசுரனுக்கு அதரவு சொன்ன சுடலை இந்த படத்தை பற்றி சொல்லும் கருத்தை பொருத்து பாருங்கள் .,1
பொண்ணுக்கு புடிச்சிருந்த அவங்க யார வேணும்னாலும் கல்யாணம் பண்ணுங்க நீங்க யார நீங்க என்னா பொண்ணுங்களோட ஆறாவது அறிவா அவங்களுக்கு சுயமா முடிவெடுக்க தெரியாது,1
மண்ணு  பெண்ணு  எல்லாருக்கும்   முக்கியமானதுதான் ஒருவனுக்கு  மட்டும்  சொந்தமல்ல  அவ்வளவு  மானம்  இருந்தா பஞ்சமி  நிலத்தை  திருப்பி  தரவேண்டியதுதானே தமிழ்நாட்டில்  உள்ள  பாதி  ஏரிகள்  வயலாக்குனதே  நீங்கதாண்டா  அந்த  ஏரிகளை  தூர்வாரவிடாம மடக்குரிங்க அப்படி தூர்வாரப்பட்டால்   மண்ணு  இருக்காதுடா  உங்களுக்கு,1
இயக்குனர் ரன்ஜித் போன்ற ஜாதி வெறியனுக்கு இது ஒரு நல்ல செறுப்படி,1
இங்கே ஜாதி பெயர் சொல்லும் அனைத்து வீரர்களும் சூத்திரன் என்பதை மறந்து விட வேண்டாம். சூத்திர பெரும boys..,1
மணிரத்னம் தளர்ந்துவிட்டதாகவே எனக்கு படுகிறது    தன் திறமையால்   நடிகர்களை நடிகைகளை புதிதாக அறிமுகப்படுத்தி  தன் சினிமா கதை களத்தில்  வெற்றி கண்ட மனிதனுக்கு.....  இன்று இத்தனை ஹீரோக்கள் தேவைப்படுகிறது...    யாருடைய ரசிகர்கள் மூலமாவது படத்தை வெற்றி பெற செய்து விட வேண்டும் என்ற முனைப்பு தெரிகிறது      பாவம் மணிரத்னம்,1
Like and Dislike லே தமிழகத்தில் யாரு வெயிட்டுனு தெரியுதுடா.,1
இங்கு DISLIKE போட்ட 20k (20000) நபர்களின் ID யை காவல்துறை கன்கானிக்க வேண்டும்... ஒரு திருட்டு நாடககாதல் கூட்டம்  இந்த கூட்டத்தில் இருக்கு...,1
"கீழே சுன்னி தனமா சாதி மற்றும் சமூகத்தை பத்தி `comment´பண்ணியிருக்குற  சில புண்டைக்கு இந்த `comment. போடா புண்ட. நீ என்ன சமுதாயம்னு எந்த தேவுடியா புண்ட  டா   கேட்டான். மயிரு. முதல்ல நம்ம எல்லாம் மனித இனம், மானிட சமுதாயம். அத முதல்ல தெரிஞ்சிக்கோ. புத்தி இல்லம comment பண்ண வந்துட்டாங்க. போய் சாவுங்கடா...",1
Enna da padam சாதி பு..ட படம்,1
அசித் தேவையா மவன் என் சுன்னி மயிறுக்கு சம்ம,1
